site,block,warming_treatment,plot_id,species,plant_id,phylo,year,doy,photosyn,gs,ci,soil_water,tleaf,VPG,percent_stomatal_limitation,Agmax,Vcmax25
cfc,d,ambient,d5,pinst,553,gymno,2010,207,9.016666667,0.060966667,147.3333333,0.2072085,31.69333333,2.216140609,0.31563808,13.17528985,73.80747402
cfc,d,ambient,d5,pinst,559,gymno,2011,167,9.4665119,0.183054853,304.4528773,0.222487375,18.05628267,1.06377485,0.28149498,13.17528985,36.56513396
cfc,d,ambient,d5,poptr,562,angio,2011,165,6.219170467,0.060262857,214.6835557,0.184164375,28.16143163,1.480071486,0.691279699,20.145,33.36589603
cfc,d,ambient,d5,poptr,566,angio,2009,188,14.12458501,0.226496776,269.6538754,0.139687625,24.48320198,1.327966738,0.298854058,20.145,60.79073832
cfc,d,ambient,d5,poptr,567,angio,2009,166,12.46666667,0.151333333,234,0.2076745,31.94333333,2.336489235,0.381153305,20.145,61.36869093
cfc,d,ambient,d5,poptr,568,angio,2009,223,17.35085333,0.370974289,286.0932495,0.2438035,30.22888501,1.470135641,0.138701746,20.145,70.78598432
cfc,d,ambient,d5,poptr,570,angio,2011,210,18.028115,0.298317857,258.1809313,0.23936725,31.39475633,2.326450447,0.105082403,20.145,80.77760013
cfc,d,ambient,d5,poptr,571,angio,2010,168,9.040573743,0.101121432,231.8051835,0.244064375,30.4489282,1.585937498,0.551224932,20.145,44.91660512
cfc,d,ambient,d5,quema,573,angio,2009,224,17.09199737,0.37675803,285.7260303,0.2368295,32.30210622,1.759588832,0.07235342,18.42511765,69.80987524
cfc,d,ambient,d5,quema,575,angio,2009,250,20.86344541,0.483192191,286.566696,0.21520925,27.56658363,1.313337079,-0.132337161,18.42511765,84.99087245
cfc,d,ambient,d5,quema,580,angio,2011,237,10.40339283,0.295466813,314.3926527,0.243123625,22.50897343,1.579326081,0.435368988,18.42511765,39.08848914
cfc,d,ambient,d5,quema,581,angio,2011,165,1.922005953,0.055986717,325.4989123,0.184164375,30.06040573,2.445100532,0.895685553,18.42511765,7.012224805
cfc,d,ambient,d5,quema,582,angio,2011,269,12.4589776,0.402164427,322.2300727,0.20249975,25.39848833,1.016985195,0.323804719,18.42511765,45.84330749
cfc,d,ambient,d5,quema,583,angio,2009,189,3.87,0.0446,241,0.1354905,29.33,2.305521779,0.789960636,18.42511765,18.51248922
cfc,d,ambient,d5,queru,585,angio,2009,250,8.052039321,0.111757453,261.2120304,0.21520925,27.4926211,1.658029442,0.455583423,14.79021701,35.68780445
cfc,d,ambient,d5,queru,589,angio,2009,189,5.88,0.0364,122,0.1354905,27.18,1.97649272,0.60243991,14.79021701,61.66628733
cfc,d,ambient,d5,queru,590,angio,2011,269,6.434028553,0.09643677,274.2728033,0.20249975,26.22473463,1.363347767,0.564980788,14.79021701,27.26537265
cfc,d,ambient,d5,queru,591,angio,2011,210,5.446666667,0.133333333,313,0.23936725,24.35666667,1.911776348,0.631738557,14.79021701,20.54247888
cfc,d,ambient,d5,queru,592,angio,2011,167,5.232956593,0.201643777,341.767898,0.222487375,20.09923747,1.150037606,0.646187978,14.79021701,18.33355287
cfc,d,ambient,d5,queru,593,angio,2010,168,11.40421537,0.135647663,236.6249539,0.244064375,31.24743144,1.552987951,0.228935224,14.79021701,55.53065034
cfc,d,ambient,d5,rhaca,596,angio,2009,250,12.11652038,0.380473445,318.8020656,0.21520925,27.71008174,1.3363576,0.227952059,15.694,44.98865001
cfc,d,ambient,d5,rhaca,597,angio,2011,167,7.87261993,0.454591147,348.8789653,0.222487375,20.3486716,1.001975948,0.498367534,15.694,27.12099574
cfc,d,ambient,d5,rhaca,599,angio,2010,169,6.436523135,0.200594528,316.7870441,0.235088875,36.58370876,2.969028961,0.589873637,15.694,24.02792751
